PdfType: replica
Format: lhagrid1
---
   1.0000000000000001E-009   1.2805087496773329E-009   1.6397026580002066E-009   2.0996536004384440E-009   2.6886248066529422E-009   3.4428075895186204E-009   4.4085452418341216E-009   5.6451807555169663E-009   7.2287033509495714E-009   9.2564178897127844E-009   1.1852924098447012E-008   1.5177773017322716E-008   1.9435271149298264E-008   2.4887034759027869E-008   3.1868065762459105E-008   4.0807337044121510E-008   5.2254152136029562E-008   6.6911899017156363E-008   8.5681272148994874E-008   1.0971561867027273E-007   1.4049180968354591E-007   1.7990099155778314E-007   2.3036479376536950E-007   2.9498413403416981E-007   3.7772976464674552E-007   4.8368626864371759E-007   6.1936449909706121E-007   7.9310166033330520E-007   1.0155736154404181E-006   1.3004509005128978E-006   1.6652387566325320E-006   2.1323527981697613E-006   2.7304964154553227E-006   3.4964245509531374E-006   4.4772022300821299E-006   5.7330966296950335E-006   7.3412803970701236E-006   9.4005737822829745E-006   1.2037516980200697E-005   1.5414145817536453E-005   1.9737948588157687E-005   2.5274615867817270E-005   3.2364366763473565E-005   4.1442854818394238E-005   5.3067938206561213E-005   6.7953959200837646E-005   8.7015639331889072E-005   1.1142428752325099E-004   1.4267977510008573E-004   1.8270270041765416E-004   2.3395240647448257E-004   2.9957810349864276E-004   3.8361238274175352E-004   4.9121901258538520E-004   6.2901024362344536E-004   8.0545312059649397E-004   1.0313897683787222E-003   1.3207036227366310E-003   1.6911725446448070E-003   2.1655612406317548E-003   2.7730201165910612E-003   3.5508765223261178E-003   4.5469284558624116E-003   5.8223816718886608E-003   7.4556106748143655E-003   9.5469747032875165E-003   1.2224984640507846E-002   1.5654199796841295E-002   2.0045339809052397E-002   2.5668233015746944E-002   3.2868396965420543E-002   4.2088269902088901E-002   5.3894397868406066E-002   6.9012248029085344E-002   8.8370787436146028E-002  0.10000000000000001       0.11216216216216217       0.12432432432432433       0.13648648648648648       0.14864864864864866       0.16081081081081083       0.17297297297297298       0.18513513513513513       0.19729729729729731       0.20945945945945948       0.22162162162162163       0.23378378378378381       0.24594594594594596       0.25810810810810814       0.27027027027027029       0.28243243243243243       0.29459459459459458       0.30675675675675679       0.31891891891891894       0.33108108108108109       0.34324324324324329       0.35540540540540544       0.36756756756756759       0.37972972972972974       0.39189189189189189       0.40405405405405403       0.41621621621621629       0.42837837837837833       0.44054054054054059       0.45270270270270274       0.46486486486486489       0.47702702702702704       0.48918918918918919       0.50135135135135134       0.51351351351351360       0.52567567567567564       0.53783783783783790       0.55000000000000004       0.56216216216216219       0.57432432432432434       0.58648648648648649       0.59864864864864864       0.61081081081081079       0.62297297297297294       0.63513513513513520       0.64729729729729735       0.65945945945945939       0.67162162162162153       0.68378378378378379       0.69594594594594594       0.70810810810810809       0.72027027027027024       0.73243243243243250       0.74459459459459465       0.75675675675675669       0.76891891891891884       0.78108108108108110       0.79324324324324325       0.80540540540540539       0.81756756756756754       0.82972972972972980       0.84189189189189195       0.85405405405405399       0.86621621621621614       0.87837837837837840       0.89054054054054055       0.90270270270270270       0.91486486486486485       0.92702702702702711       0.93918918918918926       0.95135135135135129       0.96351351351351344       0.97567567567567570       0.98783783783783785        1.0000000000000000     
  0.99999999999999989        1.0337484978975262        1.0694855305593851        1.1073587164190224        1.1475288117502789        1.1901710629002384        1.2354767157572446        1.2836547027771996        1.3349335307763666        1.3895633960297304        1.4478185570648765        1.5099999999999998     
 1001 1002 1003 2001 2002 2003 3001 3002 3003
 5.4674838E-01 -4.1234621E-02  2.4237713E+01  2.1878971E+00  3.2172097E-01  2.3529850E+08  2.1871235E+00  3.2128167E-01 -2.3413690E+08
 7.0689617E-01 -5.1037701E-02  2.6401805E+01  2.8475156E+00  3.5280390E-01  3.4284308E+08  2.8467597E+00  3.5237738E-01 -3.4165843E+08
 8.8715022E-01 -6.9056567E-02  2.8783659E+01  3.5814874E+00  3.6117130E-01  4.7109392E+08  3.5807488E+00  3.6075793E-01 -4.6988632E+08
 1.0866354E+00 -9.5325079E-02  3.1409990E+01  4.3889580E+00  3.4578474E-01  6.2284659E+08  4.3882351E+00  3.4538457E-01 -6.2161610E+08
 1.3046583E+00 -1.2972308E-01  3.4311216E+01  5.2678762E+00  3.0772488E-01  7.9950381E+08  5.2671694E+00  3.0733857E-01 -7.9825048E+08
 1.5399240E+00 -1.7202340E-01  3.7522087E+01  6.2178468E+00  2.4455700E-01  1.0056232E+09  6.2171541E+00  2.4418424E-01 -1.0043470E+09
 1.7922641E+00 -2.2180269E-01  4.1082354E+01  7.2371804E+00  1.5909612E-01  1.2417434E+09  7.2365021E+00  1.5873751E-01 -1.2404445E+09
 2.0602794E+00 -2.7862884E-01  4.5037581E+01  8.3249603E+00  4.9036832E-02  1.5126275E+09  8.3242950E+00  4.8692201E-02 -1.5113059E+09
 2.3439867E+00 -3.4186266E-01  4.9440100E+01  9.4807124E+00 -8.3237223E-02  1.8195686E+09  9.4800598E+00 -8.3567516E-02 -1.8182243E+09
 2.6421071E+00 -4.1096165E-01  5.4350110E+01  1.0703020E+01 -2.3902989E-01  2.1666804E+09  1.0702379E+01 -2.3934599E-01 -2.1653134E+09
 2.9548583E+00 -4.8511890E-01  5.9837061E+01  1.1992356E+01 -4.1640396E-01  2.5558298E+09  1.1991727E+01 -4.1670566E-01 -2.5544401E+09
 3.2804501E+00 -5.6370038E-01  6.5981186E+01  1.3347733E+01 -6.1599543E-01  2.9904234E+09  1.3347114E+01 -6.1628293E-01 -2.9890110E+09
 5.4649437E-01 -3.9999201E-02  2.0548860E+01  2.1965621E+00  3.2849263E-01  1.8499278E+08  2.1957317E+00  3.2802067E-01 -1.8400815E+08
 7.0376306E-01 -4.9956570E-02  2.2387049E+01  2.8422002E+00  3.5879887E-01  2.6674524E+08  2.8413890E+00  3.5834069E-01 -2.6574099E+08
 8.8016672E-01 -6.7732661E-02  2.4409893E+01  3.5587840E+00  3.6787437E-01  3.6392482E+08  3.5579913E+00  3.6743035E-01 -3.6290104E+08
 1.0748447E+00 -9.3292587E-02  2.6640079E+01  4.3454295E+00  3.5490569E-01  4.7858746E+08  4.3446539E+00  3.5447591E-01 -4.7754423E+08
 1.2871134E+00 -1.2646047E-01  2.9103439E+01  5.2000808E+00  3.2113392E-01  6.1172305E+08  5.1993225E+00  3.2071905E-01 -6.1066041E+08
 1.5157459E+00 -1.6695736E-01  3.1829477E+01  6.1223975E+00  2.6436284E-01  7.6670024E+08  6.1216543E+00  2.6396251E-01 -7.6561824E+08
 1.7605793E+00 -2.1432898E-01  3.4851941E+01  7.1107146E+00  1.8747596E-01  9.4385020E+08  7.1099868E+00  1.8709083E-01 -9.4274885E+08
