PdfType: replica
Format: lhagrid1
---
   1.0000000000000001E-009   1.2805087496773329E-009   1.6397026580002066E-009   2.0996536004384440E-009   2.6886248066529422E-009   3.4428075895186204E-009   4.4085452418341216E-009   5.6451807555169663E-009   7.2287033509495714E-009   9.2564178897127844E-009   1.1852924098447012E-008   1.5177773017322716E-008   1.9435271149298264E-008   2.4887034759027869E-008   3.1868065762459105E-008   4.0807337044121510E-008   5.2254152136029562E-008   6.6911899017156363E-008   8.5681272148994874E-008   1.0971561867027273E-007   1.4049180968354591E-007   1.7990099155778314E-007   2.3036479376536950E-007   2.9498413403416981E-007   3.7772976464674552E-007   4.8368626864371759E-007   6.1936449909706121E-007   7.9310166033330520E-007   1.0155736154404181E-006   1.3004509005128978E-006   1.6652387566325320E-006   2.1323527981697613E-006   2.7304964154553227E-006   3.4964245509531374E-006   4.4772022300821299E-006   5.7330966296950335E-006   7.3412803970701236E-006   9.4005737822829745E-006   1.2037516980200697E-005   1.5414145817536453E-005   1.9737948588157687E-005   2.5274615867817270E-005   3.2364366763473565E-005   4.1442854818394238E-005   5.3067938206561213E-005   6.7953959200837646E-005   8.7015639331889072E-005   1.1142428752325099E-004   1.4267977510008573E-004   1.8270270041765416E-004   2.3395240647448257E-004   2.9957810349864276E-004   3.8361238274175352E-004   4.9121901258538520E-004   6.2901024362344536E-004   8.0545312059649397E-004   1.0313897683787222E-003   1.3207036227366310E-003   1.6911725446448070E-003   2.1655612406317548E-003   2.7730201165910612E-003   3.5508765223261178E-003   4.5469284558624116E-003   5.8223816718886608E-003   7.4556106748143655E-003   9.5469747032875165E-003   1.2224984640507846E-002   1.5654199796841295E-002   2.0045339809052397E-002   2.5668233015746944E-002   3.2868396965420543E-002   4.2088269902088901E-002   5.3894397868406066E-002   6.9012248029085344E-002   8.8370787436146028E-002  0.10000000000000001       0.11216216216216217       0.12432432432432433       0.13648648648648648       0.14864864864864866       0.16081081081081083       0.17297297297297298       0.18513513513513513       0.19729729729729731       0.20945945945945948       0.22162162162162163       0.23378378378378381       0.24594594594594596       0.25810810810810814       0.27027027027027029       0.28243243243243243       0.29459459459459458       0.30675675675675679       0.31891891891891894       0.33108108108108109       0.34324324324324329       0.35540540540540544       0.36756756756756759       0.37972972972972974       0.39189189189189189       0.40405405405405403       0.41621621621621629       0.42837837837837833       0.44054054054054059       0.45270270270270274       0.46486486486486489       0.47702702702702704       0.48918918918918919       0.50135135135135134       0.51351351351351360       0.52567567567567564       0.53783783783783790       0.55000000000000004       0.56216216216216219       0.57432432432432434       0.58648648648648649       0.59864864864864864       0.61081081081081079       0.62297297297297294       0.63513513513513520       0.64729729729729735       0.65945945945945939       0.67162162162162153       0.68378378378378379       0.69594594594594594       0.70810810810810809       0.72027027027027024       0.73243243243243250       0.74459459459459465       0.75675675675675669       0.76891891891891884       0.78108108108108110       0.79324324324324325       0.80540540540540539       0.81756756756756754       0.82972972972972980       0.84189189189189195       0.85405405405405399       0.86621621621621614       0.87837837837837840       0.89054054054054055       0.90270270270270270       0.91486486486486485       0.92702702702702711       0.93918918918918926       0.95135135135135129       0.96351351351351344       0.97567567567567570       0.98783783783783785        1.0000000000000000     
  0.99999999999999989        1.0337484978975262        1.0694855305593851        1.1073587164190224        1.1475288117502789        1.1901710629002384        1.2354767157572446        1.2836547027771996        1.3349335307763666        1.3895633960297304        1.4478185570648765        1.5099999999999998     
 1001 1002 1003 2001 2002 2003 3001 3002 3003
-1.0338965E+01  2.1794935E+01  1.2090020E+01  8.0657121E+00  1.0770146E+02 -1.6150827E+09  8.0654141E+00  1.0770131E+02  1.6156611E+09
-4.1909342E+00  2.2533577E+01  1.3169144E+01  3.3710552E+01  1.1446305E+02  9.6941600E+07  3.3710257E+01  1.1446291E+02 -9.6350507E+07
 1.9718295E+00  2.3292126E+01  1.4357883E+01  5.9382819E+01  1.2124680E+02  1.9462637E+09  5.9382526E+01  1.2124665E+02 -1.9456600E+09
 8.1788070E+00  2.4070963E+01  1.5669645E+01  8.5164355E+01  1.2804513E+02  3.9127434E+09  8.5164064E+01  1.2804499E+02 -3.9121270E+09
 1.4399270E+01  2.4864203E+01  1.7119669E+01  1.1104272E+02  1.3482150E+02  6.0907604E+09  1.1104243E+02  1.3482137E+02 -6.0901315E+09
 2.0713118E+01  2.5680011E+01  1.8725409E+01  1.3716817E+02  1.4158085E+02  8.3826380E+09  1.3716789E+02  1.4158072E+02 -8.3819973E+09
 2.7058219E+01  2.6506994E+01  2.0506887E+01  1.6348388E+02  1.4828558E+02  1.0921112E+10  1.6348360E+02  1.4828545E+02 -1.0920460E+10
 3.3501620E+01  2.7352337E+01  2.2486977E+01  1.9011648E+02  1.5492995E+02  1.3632224E+10  1.9011620E+02  1.5492982E+02 -1.3631560E+10
 4.0011180E+01  2.8208492E+01  2.4692030E+01  2.1704986E+02  1.6148813E+02  1.6601069E+10  2.1704959E+02  1.6148801E+02 -1.6600393E+10
 4.6633264E+01  2.9082567E+01  2.7152250E+01  2.4438785E+02  1.6794455E+02  1.9787808E+10  2.4438758E+02  1.6794443E+02 -1.9787121E+10
 5.3350548E+01  2.9968162E+01  2.9902696E+01  2.7212982E+02  1.7427799E+02  2.3254530E+10  2.7212955E+02  1.7427788E+02 -2.3253833E+10
 6.0223428E+01  3.0872165E+01  3.2983835E+01  3.0034598E+02  1.8047389E+02  2.6968042E+10  3.0034572E+02  1.8047378E+02 -2.6967333E+10
-9.4220569E+00  2.0051452E+01  1.0124969E+01  8.6333543E+00  9.9571544E+01 -8.7283173E+08  8.6330287E+00  9.9571381E+01  8.7332476E+08
-3.8311407E+00  2.0737738E+01  1.1049207E+01  3.1928045E+01  1.0574745E+02  3.4032823E+08  3.1927725E+01  1.0574729E+02 -3.3982490E+08
 1.7732529E+00  2.1441652E+01  1.2066002E+01  5.5246242E+01  1.1193916E+02  1.6508094E+09  5.5245927E+01  1.1193900E+02 -1.6502959E+09
 7.4179360E+00  2.2163244E+01  1.3186812E+01  7.8662698E+01  1.1813890E+02  3.0442343E+09  7.8662387E+01  1.1813876E+02 -3.0437108E+09
 1.3074576E+01  2.2896895E+01  1.4424703E+01  1.0216500E+02  1.2431361E+02  4.5878990E+09  1.0216470E+02  1.2431346E+02 -4.5873655E+09
 1.8816171E+01  2.3649866E+01  1.5794617E+01  1.2589076E+02  1.3046669E+02  6.2119488E+09  1.2589046E+02  1.3046655E+02 -6.2114050E+09
 2.4585546E+01  2.4411584E+01  1.7313533E+01  1.4978675E+02  1.3656441E+02  8.0112370E+09  1.4978645E+02  1.3656427E+02 -8.0106831E+09
 3.0443946E+01  2.5188491E+01  1.9001035E+01  1.7396859E+02  1.4260100E+02  9.9327206E+09  1.7396829E+02  1.4260087E+02 -9.9321564E+09
