PdfType: error
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00
1.30000E+00 1.50159E+00 1.75516E+00 2.07810E+00 2.49495E+00 3.04086E+00 3.76715E+00 4.50000E+00 4.75000E+00 6.23113E+00 8.37423E+00 1.15549E+01 1.64076E+01 2.40380E+01 3.64361E+01 5.73145E+01 9.38707E+01 1.60654E+02 2.88438E+02 5.45587E+02 1.09231E+03 2.32646E+03 5.30043E+03 1.29956E+04 3.45140E+04 1.00000E+05
-5 -4 -3 -2 -1 1 2 3 4 5 21
0.00000E+00 0.00000E+00 3.97494E-01 9.93720E-01 9.93752E-01 9.93752E-01 9.94476E-01 3.97494E-01 0.00000E+00 0.00000E+00 1.83677E-02
0.00000E+00 4.03097E-02 4.33410E-01 1.02304E+00 1.02308E+00 1.02308E+00 1.02386E+00 4.33410E-01 4.03097E-02 0.00000E+00 1.44087E+00
0.00000E+00 1.16158E-01 5.05051E-01 1.08836E+00 1.08841E+00 1.08842E+00 1.08926E+00 5.05051E-01 1.16158E-01 0.00000E+00 3.82758E+00
0.00000E+00 2.31486E-01 6.16315E-01 1.19353E+00 1.19358E+00 1.19359E+00 1.19449E+00 6.16315E-01 2.31486E-01 0.00000E+00 7.43960E+00
0.00000E+00 3.92660E-01 7.73548E-01 1.34484E+00 1.34491E+00 1.34492E+00 1.34588E+00 7.73548E-01 3.92660E-01 0.00000E+00 1.25407E+01
0.00000E+00 6.09363E-01 9.86424E-01 1.55197E+00 1.55204E+00 1.55207E+00 1.55308E+00 9.86424E-01 6.09363E-01 0.00000E+00 1.95027E+01
0.00000E+00 8.89166E-01 1.26249E+00 1.82244E+00 1.82252E+00 1.82255E+00 1.82363E+00 1.26249E+00 8.89166E-01 0.00000E+00 2.86194E+01
0.00000E+00 1.15009E+00 1.52058E+00 2.07627E+00 2.07636E+00 2.07640E+00 2.07753E+00 1.52058E+00 1.15009E+00 0.00000E+00 3.72022E+01
8.21115E-02 1.23046E+00 1.60014E+00 2.15460E+00 2.15470E+00 2.15474E+00 2.15588E+00 1.60014E+00 1.23046E+00 8.21115E-02 4.00480E+01
5.49369E-01 1.68948E+00 2.05532E+00 2.60402E+00 2.60413E+00 2.60418E+00 2.60540E+00 2.05532E+00 1.68948E+00 5.49369E-01 5.47433E+01
1.13115E+00 2.26307E+00 2.62513E+00 3.16814E+00 3.16825E+00 3.16832E+00 3.16961E+00 2.62513E+00 2.26307E+00 1.13115E+00 7.28532E+01
1.83431E+00 2.95807E+00 3.31638E+00 3.85376E+00 3.85389E+00 3.85398E+00 3.85535E+00 3.31638E+00 2.95807E+00 1.83431E+00 9.49165E+01
2.67483E+00 3.79045E+00 4.14505E+00 4.67686E+00 4.67701E+00 4.67711E+00 4.67856E+00 4.14505E+00 3.79045E+00 2.67483E+00 1.21403E+02
3.67286E+00 4.78036E+00 5.13129E+00 5.65759E+00 5.65774E+00 5.65787E+00 5.65940E+00 5.13129E+00 4.78036E+00 3.67286E+00 1.52868E+02
4.84703E+00 5.94642E+00 6.29371E+00 6.81454E+00 6.81471E+00 6.81487E+00 6.81648E+00 6.29371E+00 5.94642E+00 4.84703E+00 1.89775E+02
6.21555E+00 7.30684E+00 7.65053E+00 8.16594E+00 8.16613E+00 8.16631E+00 8.16802E+00 7.65053E+00 7.30684E+00 6.21555E+00 2.32537E+02
7.79916E+00 8.88235E+00 9.22246E+00 9.73251E+00 9.73271E+00 9.73293E+00 9.73472E+00 9.22246E+00 8.88235E+00 7.79916E+00 2.81602E+02
9.61940E+00 1.06945E+01 1.10311E+01 1.15358E+01 1.15360E+01 1.15363E+01 1.15382E+01 1.10311E+01 1.06945E+01 9.61940E+00 3.37398E+02
1.16985E+01 1.27655E+01 1.30986E+01 1.35980E+01 1.35982E+01 1.35985E+01 1.36005E+01 1.30986E+01 1.27655E+01 1.16985E+01 4.00325E+02
1.40592E+01 1.51181E+01 1.54477E+01 1.59419E+01 1.59421E+01 1.59424E+01 1.59445E+01 1.54477E+01 1.51181E+01 1.40592E+01 4.70746E+02
