9.06879E+00 1.56691E+00 4.31467E+00 8.05527E-01 0.40085E+03 1.26646E+01 3.14264E+00 0.36788E+03 0.90726E+01 0.15677E+01 0.27437E+01 3.67284E+01 9.26204E+00 -5.13664E-01
1.07719E+01 1.89701E+00 5.14438E+00 9.64350E-01 0.42461E+03 1.49721E+01 3.59839E+00 0.39024E+03 0.10780E+02 0.18985E+01 0.45397E+01 4.28131E+01 1.09051E+01 -3.96581E-01
1.27040E+01 2.26086E+00 6.10052E+00 1.14535E+00 0.44863E+03 1.76216E+01 4.08881E+00 0.41287E+03 0.12720E+02 0.22642E+01 0.76340E+01 4.96774E+01 1.27910E+01 -2.77037E-01
1.48814E+01 2.65660E+00 7.18667E+00 1.34836E+00 0.47294E+03 2.06284E+01 4.61691E+00 0.43576E+03 0.14919E+02 0.26641E+01 0.13040E+02 5.74157E+01 1.49432E+01 -1.67317E-01
1.73151E+01 3.07804E+00 8.40180E+00 1.56974E+00 0.49755E+03 2.40024E+01 5.18704E+00 0.45888E+03 0.17406E+02 0.30964E+01 0.22623E+02 6.61715E+01 1.74206E+01 -8.68745E-02
2.00128E+01 3.51927E+00 9.74331E+00 1.80317E+00 0.52250E+03 2.77553E+01 5.80579E+00 0.48223E+03 0.20248E+02 0.35666E+01 0.39553E+02 7.61371E+01 2.03048E+01 -7.35058E-02
2.29994E+01 3.97423E+00 1.12133E+01 2.04220E+00 0.54782E+03 3.19100E+01 6.47850E+00 0.50583E+03 0.23637E+02 0.41006E+01 0.68997E+02 8.74733E+01 2.35942E+01 -2.04320E-01
2.62961E+01 4.43726E+00 1.28183E+01 2.28215E+00 0.57357E+03 3.64886E+01 7.20259E+00 0.52974E+03 0.28017E+02 0.47717E+01 0.11799E+03 1.00317E+02 2.71613E+01 -6.30205E-01
2.99477E+01 4.90898E+00 1.45706E+01 2.52067E+00 0.59979E+03 4.15300E+01 7.98143E+00 0.55400E+03 0.34262E+02 0.57289E+01 0.19220E+03 1.15002E+02 3.08598E+01 -1.65132E+00
3.40065E+01 5.38836E+00 1.64911E+01 2.75746E+00 0.62653E+03 4.71052E+01 8.83762E+00 0.57866E+03 0.43390E+02 0.71332E+01 0.28922E+03 1.31991E+02 3.43119E+01 -3.82499E+00
3.86088E+01 5.88410E+00 1.86171E+01 2.99481E+00 0.65382E+03 5.32892E+01 9.76965E+00 0.60375E+03 0.55612E+02 0.89766E+01 0.39383E+03 1.51426E+02 3.66519E+01 -7.77026E+00
4.40040E+01 6.42754E+00 2.10074E+01 3.24035E+00 0.68170E+03 6.01299E+01 1.07075E+01 0.62933E+03 0.69853E+02 0.10996E+02 0.48666E+03 1.73169E+02 3.74007E+01 -1.32902E+01
5.05488E+01 7.10023E+00 2.37493E+01 3.51453E+00 0.71021E+03 6.77149E+01 1.15709E+01 0.65542E+03 0.84962E+02 0.12940E+02 0.55805E+03 1.97291E+02 3.74439E+01 -1.88855E+01
6.95231E-01 2.73262E-02 3.56403E-01 2.87223E-02 0.13050E+03 1.03825E+00 1.12664E-01 0.11277E+03 0.69524E+00 0.27327E-01 0.19680E-01 3.30746E+00 9.29410E-01 -3.23339E-01
6.99809E-01 2.73087E-02 3.58731E-01 2.89435E-02 0.13095E+03 1.04591E+00 1.14328E-01 0.11324E+03 0.69981E+00 0.27309E-01 0.19870E-01 3.32808E+00 9.34205E-01 -3.26732E-01
9.35754E-01 3.54460E-02 4.64971E-01 4.48615E-02 0.15210E+03 1.40725E+00 2.18137E-01 0.13406E+03 0.93576E+00 0.35447E-01 0.29353E-01 4.27011E+00 1.20284E+00 -5.42529E-01
1.19354E+00 5.29256E-02 5.93679E-01 6.22179E-02 0.17150E+03 1.81677E+00 3.17443E-01 0.15305E+03 0.11936E+01 0.52927E-01 0.42441E-01 5.49958E+00 1.46682E+00 -6.20138E-01
1.49829E+00 8.70225E-02 7.44321E-01 8.69614E-02 0.19069E+03 2.29363E+00 4.47466E-01 0.17160E+03 0.14983E+01 0.87026E-01 0.61305E-01 6.95074E+00 1.78772E+00 -6.92773E-01
1.86094E+00 1.39690E-01 9.21543E-01 1.19462E-01 0.20976E+03 2.84844E+00 6.08025E-01 0.18981E+03 0.18610E+01 0.13970E+00 0.88548E-01 8.64950E+00 2.16824E+00 -7.58419E-01
2.29324E+00 2.12904E-01 1.13040E+00 1.60174E-01 0.22878E+03 3.49264E+00 7.98700E-01 0.20778E+03 0.22933E+01 0.21291E+00 0.12862E+00 1.06127E+01 2.61391E+00 -8.11449E-01
2.80775E+00 3.08475E-01 1.37617E+00 2.09700E-01 0.24779E+03 4.23833E+00 1.01922E+00 0.22556E+03 0.28079E+01 0.30849E+00 0.18778E+00 1.28657E+01 3.13363E+00 -8.50798E-01
3.41609E+00 4.28312E-01 1.66395E+00 2.68812E-01 0.26680E+03 5.09724E+00 1.26922E+00 0.24319E+03 0.34163E+01 0.42834E+00 0.27657E+00 1.54287E+01 3.73778E+00 -8.73559E-01
4.13226E+00 5.74912E-01 1.99907E+00 3.38377E-01 0.28580E+03 6.08173E+00 1.54801E+00 0.26071E+03 0.41326E+01 0.57497E+00 0.41080E+00 1.83213E+01 4.43653E+00 -8.77762E-01
4.97788E+00 7.49104E-01 2.38636E+00 4.19213E-01 0.30477E+03 7.20290E+00 1.85385E+00 0.27813E+03 0.49784E+01 0.74920E+00 0.61703E+00 2.15746E+01 5.23884E+00 -8.64263E-01
6.03349E+00 9.78835E-01 2.87546E+00 5.26124E-01 0.32632E+03 8.60321E+00 2.23596E+00 0.29813E+03 0.60345E+01 0.97903E+00 0.97277E+00 2.56215E+01 6.30565E+00 -8.27492E-01
7.26193E+00 1.22183E+00 3.45537E+00 6.39314E-01 0.34747E+03 1.02355E+01 2.60519E+00 0.31784E+03 0.72638E+01 0.12222E+01 0.15545E+01 3.01757E+01 7.44571E+00 -7.80187E-01
8.67698E+00 1.49827E+00 4.13171E+00 7.69277E-01 0.36883E+03 1.21237E+01 3.00076E+00 0.33783E+03 0.86806E+01 0.14990E+01 0.25245E+01 3.53179E+01 8.76037E+00 -7.17997E-01
1.02954E+01 1.80753E+00 4.91720E+00 9.17623E-01 0.39042E+03 1.43035E+01 3.42301E+00 0.35809E+03 0.10303E+02 0.18090E+01 0.41742E+01 4.11280E+01 1.02784E+01 -6.46263E-01
1.21312E+01 2.14716E+00 5.82124E+00 1.08587E+00 0.41225E+03 1.68027E+01 3.87430E+00 0.37861E+03 0.12147E+02 0.21503E+01 0.70149E+01 4.76897E+01 1.20259E+01 -5.72266E-01
1.41997E+01 2.51523E+00 6.84743E+00 1.27384E+00 0.43435E+03 1.96368E+01 4.35831E+00 0.39936E+03 0.14235E+02 0.25223E+01 0.11975E+02 5.50875E+01 1.40218E+01 -5.06425E-01
1.65126E+01 2.90596E+00 7.99580E+00 1.47828E+00 0.45672E+03 2.28175E+01 4.87923E+00 0.42032E+03 0.16599E+02 0.29232E+01 0.20766E+02 6.34392E+01 1.63063E+01 -4.65510E-01
1.90767E+01 3.31385E+00 9.26421E+00 1.69351E+00 0.47940E+03 2.63564E+01 5.44381E+00 0.44149E+03 0.19300E+02 0.33582E+01 0.36289E+02 7.29278E+01 1.89602E+01 -4.82705E-01
2.19148E+01 3.73318E+00 1.06549E+01 1.91350E+00 0.50242E+03 3.02783E+01 6.05933E+00 0.46290E+03 0.22520E+02 0.38514E+01 0.63275E+02 8.37334E+01 2.20131E+01 -6.28548E-01
2.50463E+01 4.15845E+00 1.21737E+01 2.13376E+00 0.52582E+03 3.46059E+01 6.72547E+00 0.48458E+03 0.26679E+02 0.44708E+01 0.10816E+03 9.59822E+01 2.53453E+01 -1.04453E+00
2.85119E+01 4.59006E+00 1.38315E+01 2.35192E+00 0.54966E+03 3.93683E+01 7.43937E+00 0.50658E+03 0.32602E+02 0.53544E+01 0.17612E+03 1.09907E+02 2.87534E+01 -2.00246E+00
3.23578E+01 5.02688E+00 1.56472E+01 2.56759E+00 0.57396E+03 4.46256E+01 8.21647E+00 0.52894E+03 0.41248E+02 0.66493E+01 0.26491E+03 1.25963E+02 3.19221E+01 -4.00282E+00
3.67087E+01 5.47700E+00 1.76544E+01 2.78290E+00 0.59876E+03 5.04545E+01 9.06628E+00 0.55170E+03 0.52809E+02 0.83471E+01 0.36059E+03 1.44401E+02 3.41261E+01 -7.65318E+00
4.17980E+01 5.97072E+00 1.99085E+01 3.00529E+00 0.62410E+03 5.69049E+01 9.93073E+00 0.57489E+03 0.66263E+02 0.10208E+02 0.44542E+03 1.65094E+02 3.48392E+01 -1.28969E+01
4.79435E+01 6.58142E+00 2.24870E+01 3.25313E+00 0.65000E+03 6.40351E+01 1.07150E+01 0.59855E+03 0.80489E+02 0.11989E+02 0.51061E+03 1.87972E+02 3.47629E+01 -1.83852E+01
6.87640E-01 2.77473E-02 3.54507E-01 2.86077E-02 0.12322E+03 1.03116E+00 1.10685E-01 0.10652E+03 0.68765E+00 0.27748E-01 0.18582E-01 3.26311E+00 8.97965E-01 -3.20429E-01
6.92072E-01 2.77458E-02 3.56775E-01 2.88364E-02 0.12364E+03 1.03863E+00 1.12367E-01 0.10694E+03 0.69208E+00 0.27746E-01 0.18760E-01 3.28328E+00 9.02758E-01 -3.23727E-01
9.19711E-01 3.66418E-02 4.59961E-01 4.49505E-02 0.14298E+03 1.39055E+00 2.16075E-01 0.12595E+03 0.91972E+00 0.36643E-01 0.27593E-01 4.19941E+00 1.16859E+00 -5.35404E-01
1.16852E+00 5.46881E-02 5.84791E-01 6.23460E-02 0.16071E+03 1.78846E+00 3.14818E-01 0.14327E+03 0.11685E+01 0.54690E-01 0.39771E-01 5.39437E+00 1.42942E+00 -6.11553E-01
