PdfType: replica
Format: lhagrid1
---
1.0000000000000001E-009   1.2805087496773329E-009   1.6397026580002066E-009   2.0996536004384440E-009   2.6886248066529422E-009   3.4428075895186204E-009   4.4085452418341216E-009   5.6451807555169663E-009   7.2287033509495714E-009   9.2564178897127844E-009   1.1852924098447012E-008   1.5177773017322716E-008   1.9435271149298264E-008   2.4887034759027869E-008   3.1868065762459105E-008   4.0807337044121510E-008   5.2254152136029562E-008   6.6911899017156363E-008   8.5681272148994874E-008   1.0971561867027273E-007   1.4049180968354591E-007   1.7990099155778314E-007   2.3036479376536950E-007   2.9498413403416981E-007   3.7772976464674552E-007   4.8368626864371759E-007   6.1936449909706121E-007   7.9310166033330520E-007   1.0155736154404181E-006   1.3004509005128978E-006   1.6652387566325320E-006   2.1323527981697613E-006   2.7304964154553227E-006   3.4964245509531374E-006   4.4772022300821299E-006   5.7330966296950335E-006   7.3412803970701236E-006   9.4005737822829745E-006   1.2037516980200697E-005   1.5414145817536453E-005   1.9737948588157687E-005   2.5274615867817270E-005   3.2364366763473565E-005   4.1442854818394238E-005   5.3067938206561213E-005   6.7953959200837646E-005   8.7015639331889072E-005   1.1142428752325099E-004   1.4267977510008573E-004   1.8270270041765416E-004   2.3395240647448257E-004   2.9957810349864276E-004   3.8361238274175352E-004   4.9121901258538520E-004   6.2901024362344536E-004   8.0545312059649397E-004   1.0313897683787222E-003   1.3207036227366310E-003   1.6911725446448070E-003   2.1655612406317548E-003   2.7730201165910612E-003   3.5508765223261178E-003   4.5469284558624116E-003   5.8223816718886608E-003   7.4556106748143655E-003   9.5469747032875165E-003   1.2224984640507846E-002   1.5654199796841295E-002   2.0045339809052397E-002   2.5668233015746944E-002   3.2868396965420543E-002   4.2088269902088901E-002   5.3894397868406066E-002   6.9012248029085344E-002   8.8370787436146028E-002  0.10000000000000001       0.11216216216216217       0.12432432432432433       0.13648648648648648       0.14864864864864866       0.16081081081081083       0.17297297297297298       0.18513513513513513       0.19729729729729731       0.20945945945945948       0.22162162162162163       0.23378378378378381       0.24594594594594596       0.25810810810810814       0.27027027027027029       0.28243243243243243       0.29459459459459458       0.30675675675675679       0.31891891891891894       0.33108108108108109       0.34324324324324329       0.35540540540540544       0.36756756756756759       0.37972972972972974       0.39189189189189189       0.40405405405405403       0.41621621621621629       0.42837837837837833       0.44054054054054059       0.45270270270270274       0.46486486486486489       0.47702702702702704       0.48918918918918919       0.50135135135135134       0.51351351351351360       0.52567567567567564       0.53783783783783790       0.55000000000000004       0.56216216216216219       0.57432432432432434       0.58648648648648649       0.59864864864864864       0.61081081081081079       0.62297297297297294       0.63513513513513520       0.64729729729729735       0.65945945945945939       0.67162162162162153       0.68378378378378379       0.69594594594594594       0.70810810810810809       0.72027027027027024       0.73243243243243250       0.74459459459459465       0.75675675675675669       0.76891891891891884       0.78108108108108110       0.79324324324324325       0.80540540540540539       0.81756756756756754       0.82972972972972980       0.84189189189189195       0.85405405405405399       0.86621621621621614       0.87837837837837840       0.89054054054054055       0.90270270270270270       0.91486486486486485       0.92702702702702711       0.93918918918918926       0.95135135135135129       0.96351351351351344       0.97567567567567570       0.98783783783783785        1.0000000000000000
0.99999999999999989        1.0337484978975262        1.0694855305593851        1.1073587164190224        1.1475288117502789        1.1901710629002384        1.2354767157572446        1.2836547027771996        1.3349335307763666        1.3895633960297304        1.4478185570648765        1.5099999999999998
908 909 910 940 941 942 930 931 932 
-1.4780834E+00 -4.0755002E-01 -2.9715328E+06  3.8686044E+00  5.9388077E+00 -6.3737725E+10  3.4990355E+00  7.5892601E+00 -7.3972845E+10
-1.2517028E+00 -4.0103674E-01 -3.1861316E+06  4.7317692E+00  6.0006169E+00 -6.3689014E+10  4.3512766E+00  7.6483199E+00 -7.4528232E+10
-1.0032749E+00 -4.0429000E-01 -3.4197896E+06  5.6893828E+00  6.0277423E+00 -6.3571270E+10  5.3021595E+00  7.6693084E+00 -7.5081498E+10
-7.3369591E-01 -4.1708499E-01 -3.6747329E+06  6.7403189E+00  6.0106512E+00 -6.3378254E+10  6.3503982E+00  7.6399970E+00 -7.5647088E+10
-4.4374705E-01 -4.3907444E-01 -3.9534774E+06  7.8814338E+00  5.9691742E+00 -6.3123217E+10  7.4924556E+00  7.5858383E+00 -7.6213772E+10
-1.3464674E-01 -4.6977856E-01 -4.2588719E+06  9.1100354E+00  5.8734716E+00 -6.2787119E+10  8.7247968E+00  7.4685943E+00 -7.6810890E+10
1.9341378E-01 -5.0858134E-01 -4.5941457E+06  1.0426204E+01  5.7543123E+00 -6.2387763E+10  1.0047956E+01  7.3274368E+00 -7.7420448E+10
5.3910996E-01 -5.5482555E-01 -4.9629748E+06  1.1825036E+01  5.5885714E+00 -6.1911388E+10  1.1455665E+01  7.1328959E+00 -7.8063755E+10
9.0255489E-01 -6.0769302E-01 -5.3695441E+06  1.3308846E+01  5.3938619E+00 -6.1365725E+10  1.2950943E+01  6.9071073E+00 -7.8734779E+10
1.2825504E+00 -6.6644374E-01 -5.8186358E+06  1.4872383E+01  5.1582890E+00 -6.0744407E+10  1.4527221E+01  6.6349628E+00 -7.9444564E+10
1.6794942E+00 -7.3010769E-01 -6.3157175E+06  1.6518854E+01  4.8922086E+00 -6.0049977E+10  1.6188337E+01  6.3293070E+00 -8.0192943E+10
2.0916942E+00 -7.9787608E-01 -6.8670669E+06  1.8243575E+01  4.5889856E+00 -5.9279972E+10  1.7928282E+01  5.9816555E+00 -8.0985368E+10
-1.2255981E+00 -3.6614105E-01 -2.0952175E+06  3.8652459E+00  5.4096310E+00 -4.4954006E+10  3.5239344E+00  6.8955481E+00 -5.2143439E+10
-1.0058750E+00 -3.6159992E-01 -2.2464571E+06  4.7075025E+00  5.4700496E+00 -4.4911399E+10  4.3567401E+00  6.9536855E+00 -5.2540135E+10
-7.6524184E-01 -3.6623735E-01 -2.4111268E+06  5.6389592E+00  5.4986081E+00 -4.4819241E+10  5.2825163E+00  6.9769033E+00 -5.2936286E+10
-5.0456993E-01 -3.7977447E-01 -2.5907950E+06  6.6584947E+00  5.4868230E+00 -4.4673031E+10  6.2999969E+00  6.9542847E+00 -5.3342177E+10
-2.2462161E-01 -4.0182303E-01 -2.7872345E+06  7.7631152E+00  5.4529137E+00 -4.4482137E+10  7.4058376E+00  6.9091248E+00 -5.3749858E+10
7.3461638E-02 -4.3186672E-01 -3.0024523E+06  8.9504271E+00  5.3698943E+00 -4.4232923E+10  8.5968726E+00  6.8068485E+00 -5.4180236E+10
3.8949695E-01 -4.6927382E-01 -3.2387237E+06  1.0220397E+01  5.2659478E+00 -4.3938042E+10  9.8734919E+00  6.6832333E+00 -5.4620512E+10
7.2226228E-01 -5.1336860E-01 -3.4986386E+06  1.1568652E+01  5.1201390E+00 -4.3587610E+10  1.1230083E+01  6.5116085E+00 -5.5085896E+10
1.0718912E+00 -5.6333642E-01 -3.7851454E+06  1.2997328E+01  4.9486874E+00 -4.3187122E+10  1.2669425E+01  6.3122825E+00 -5.5572087E+10
1.4372962E+00 -6.1843187E-01 -4.1016133E+06  1.4501759E+01  4.7408628E+00 -4.2731983E+10  1.4185658E+01  6.0716181E+00 -5.6086977E+10
1.8189027E+00 -6.7770526E-01 -4.4518943E+06  1.6085003E+01  4.5062580E+00 -4.2223995E+10  1.5782414E+01  5.8014597E+00 -5.6630435E+10
2.2151828E+00 -7.4035405E-01 -4.8404112E+06  1.7742962E+01  4.2389267E+00 -4.1661387E+10  1.7454397E+01  5.4941867E+00 -5.7206343E+10
-9.9881717E-01 -3.2864180E-01 -1.4766823E+06  3.8574401E+00  4.9302107E+00 -3.1692255E+10  3.5423125E+00  6.2673119E+00 -3.6739487E+10
-7.8558295E-01 -3.2586363E-01 -1.5832241E+06  4.6788256E+00  4.9892780E+00 -3.1656084E+10  4.3555495E+00  6.3245059E+00 -3.7023060E+10
-5.5254539E-01 -3.3169826E-01 -1.6992254E+06  5.5843978E+00  5.0191367E+00 -3.1584335E+10  5.2563599E+00  6.3497277E+00 -3.7306945E+10
-3.0054817E-01 -3.4581807E-01 -1.8257906E+06  6.5730514E+00  5.0122541E+00 -3.1473763E+10  6.2435055E+00  6.3332494E+00 -3.7598466E+10
-3.0332304E-02 -3.6779885E-01 -1.9641684E+06  7.6419330E+00  4.9853793E+00 -3.1330990E+10  7.3138242E+00  6.2964017E+00 -3.7891997E+10
2.5703655E-01 -3.9709291E-01 -2.1157722E+06  8.7889013E+00  4.9140988E+00 -3.1146257E+10  8.4644744E+00  6.2079208E+00 -3.8202427E+10
5.6138485E-01 -4.3305704E-01 -2.2822043E+06  1.0013855E+01  4.8242542E+00 -3.0928551E+10  9.6957424E+00  6.1005046E+00 -3.8520657E+10
8.8158921E-01 -4.7500168E-01 -2.4652887E+06  1.1312896E+01  4.6968901E+00 -3.0670780E+10  1.1002608E+01  5.9500166E+00 -3.8857541E+10
1.2178024E+00 -5.2211914E-01 -2.6671016E+06  1.2688013E+01  4.5469521E+00 -3.0376844E+10  1.2387643E+01  5.7750969E+00 -3.9210011E+10
1.5690414E+00 -5.7366268E-01 -2.8900159E+06  1.4135077E+01  4.3647657E+00 -3.0043434E+10  1.3845638E+01  5.5634417E+00 -3.9583706E+10
1.9357563E+00 -6.2870552E-01 -3.1367442E+06  1.5657010E+01  4.1592169E+00 -2.9671825E+10  1.5380037E+01  5.3259733E+00 -3.9978524E+10
2.3165729E+00 -6.8645481E-01 -3.4104009E+06  1.7250272E+01  3.9249917E+00 -2.9260740E+10  1.6986214E+01  5.0558597E+00 -4.0397230E+10
-7.9540109E-01 -2.9469558E-01 -1.0403153E+06  3.8452644E+00  4.4959535E+00 -2.2333785E+10  3.5544582E+00  5.6985339E+00 -2.5875102E+10
-5.8849695E-01 -2.9348875E-01 -1.1153370E+06  4.6458603E+00  4.5537107E+00 -2.2303682E+10  4.3480444E+00  5.7547678E+00 -2.6077924E+10
-3.6286507E-01 -3.0035035E-01 -1.1970185E+06  5.5258525E+00  4.5847486E+00 -2.2248030E+10  5.2240677E+00  5.7817882E+00 -2.6281480E+10
-1.1931897E-01 -3.1490907E-01 -1.2861374E+06  6.4841607E+00  4.5823953E+00 -2.2164488E+10  6.1813254E+00  5.7709422E+00 -2.6490987E+10
1.4142373E-01 -3.3670959E-01 -1.3835725E+06  7.5180650E+00  4.5620572E+00 -2.2057740E+10  7.2168285E+00  5.7417719E+00 -2.6702458E+10
4.1837202E-01 -3.6517773E-01 -1.4903189E+06  8.6256661E+00  4.5016560E+00 -2.1920799E+10  8.3280414E+00  5.6660175E+00 -2.6926500E+10
7.1136252E-01 -3.9966273E-01 -1.6075045E+06  9.8068025E+00  4.4248933E+00 -2.1760052E+10  9.5151573E+00  5.5735674E+00 -2.7156643E+10
1.0193667E+00 -4.3946553E-01 -1.7364132E+06  1.1058017E+01  4.3146103E+00 -2.1570408E+10  1.0773701E+01  5.4425836E+00 -2.7400629E+10
1.3425551E+00 -4.8378854E-01 -1.8785067E+06  1.2381165E+01  4.1845814E+00 -2.1354639E+10  1.2106059E+01  5.2901776E+00 -2.7656271E+10
1.6800439E+00 -5.3188738E-01 -2.0354551E+06  1.3772607E+01  4.0260854E+00 -2.1110360E+10  1.3507614E+01  5.1052514E+00 -2.7927595E+10
2.0323040E+00 -5.8286050E-01 -2.2091679E+06  1.5235142E+01  3.8473535E+00 -2.0838477E+10  1.4981638E+01  4.8978768E+00 -2.8214522E+10
2.3981060E+00 -6.3592780E-01 -2.4018373E+06  1.6765723E+01  3.6436334E+00 -2.0538074E+10  1.6524106E+01  4.6619288E+00 -2.8519016E+10
-6.1319567E-01 -2.6397694E-01 -7.3258261E+05  3.8291889E+00  4.1027122E+00 -1.5732203E+10  3.5607661E+00  5.1836808E+00 -1.8215481E+10
-4.1247095E-01 -2.6416602E-01 -7.8538512E+05  4.6090971E+00  4.1591990E+00 -1.5707516E+10  4.3346893E+00  5.2389585E+00 -1.8360619E+10
-1.9406277E-01 -2.7189969E-01 -8.4287427E+05  5.4638233E+00  4.1913041E+00 -1.5664482E+10  5.1861604E+00  5.2676044E+00 -1.8506656E+10
4.1247837E-02 -2.8676798E-01 -9.0559720E+05  6.3923206E+00  4.1931328E+00 -1.5601413E+10  6.1140224E+00  5.2619393E+00 -1.8657308E+10
2.9276850E-01 -3.0828895E-01 -9.7417233E+05  7.3919972E+00  4.1788652E+00 -1.5521621E+10  7.1154424E+00  5.2398706E+00 -1.8809750E+10
5.5958166E-01 -3.3586661E-01 -1.0492998E+06  8.4611861E+00  4.1285418E+00 -1.5420104E+10  8.1881645E+00  5.1758560E+00 -1.8971535E+10
8.4153485E-01 -3.6884638E-01 -1.1317732E+06  9.5996725E+00  4.0639068E+00 -1.5301401E+10  9.3323118E+00  5.0972292E+00 -1.9138061E+10
1.1376906E+00 -4.0652366E-01 -1.2224961E+06  1.0804410E+01  3.9694311E+00 -1.5161857E+10  1.0543911E+01  4.9842347E+00 -1.9314853E+10
1.4482362E+00 -4.4811386E-01 -1.3224966E+06  1.2077130E+01  3.8578116E+00 -1.5003445E+10  1.1825181E+01  4.8525845E+00 -1.9500347E+10
1.7723811E+00 -4.9287832E-01 -1.4329500E+06  1.3414646E+01  3.7211882E+00 -1.4824446E+10  1.3172050E+01  4.6922705E+00 -1.9697419E+10
2.1106147E+00 -5.3994271E-01 -1.5551998E+06  1.4819641E+01  3.5671843E+00 -1.4625502E+10  1.4587632E+01  4.5125795E+00 -1.9906006E+10
2.4618424E+00 -5.8854241E-01 -1.6907882E+06  1.6289518E+01  3.3915522E+00 -1.4405959E+10  1.6068445E+01  4.3080226E+00 -2.0127502E+10
-4.5019396E-01 -2.3619077E-01 -5.1563987E+05  3.8097048E+00  3.7467058E+00 -1.1076915E+10  3.5620785E+00  4.7178246E+00 -1.2817214E+10
-2.5551114E-01 -2.3761498E-01 -5.5278713E+05  4.5690347E+00  3.8019650E+00 -1.1056940E+10  4.3163071E+00  4.7721385E+00 -1.2921165E+10
-4.4157059E-02 -2.4607981E-01 -5.9323096E+05  5.3988086E+00  3.8350368E+00 -1.1023788E+10  5.1434275E+00  4.8022354E+00 -1.3026030E+10
1.8312182E-01 -2.6114133E-01 -6.3735618E+05  6.2980201E+00  3.8407275E+00 -1.0976241E+10  6.0423319E+00  4.8013134E+00 -1.3134453E+10
4.2566003E-01 -2.8229543E-01 -6.8559773E+05  7.2642016E+00  3.8320964E+00 -1.0916640E+10  7.0103427E+00  4.7857924E+00 -1.3244434E+10
6.8261210E-01 -3.0892865E-01 -7.3844802E+05  8.2959072E+00  3.7911043E+00 -1.0841406E+10  8.0454863E+00  4.7326045E+00 -1.3361351E+10
