x               Q2[GeV^2]          y           W2[GeV^2]      stat[%]     pt-pt[%]   norm[%]
---------------------------------------------------------------------------------------------
beam energy set:18x110
-----------------------
0.000325           1.29          0.503           3981        0.00744       2.3       4.3
0.000515           1.29          0.317           2511        0.00715       2.3       4.3
0.000515           2.05          0.503           3980        0.00925       2.3       4.3
0.000815           1.29            0.2           1584        0.00705       2.3       4.3
0.000815           2.05          0.317           2511         0.0089       2.3       4.3
0.000815           3.25          0.503           3979         0.0111       2.3       4.3
0.00129            1.29          0.126          999.6         0.0071       2.3       4.3
0.00129            2.05            0.2           1584         0.0088       2.3       4.3
0.00129            3.25          0.317           2510         0.0107       2.3       4.3
0.00129            5.15          0.503           3977         0.0135       2.3       4.3
0.00205            1.29         0.0797          630.5        0.00723       2.3       4.3
0.00205            2.05          0.126          998.8        0.00886       2.3       4.3
0.00205            3.25            0.2           1583         0.0106       2.3       4.3
0.00205            5.15          0.317           2508          0.013       2.3       4.3
0.00205            8.15          0.503           3974         0.0167       2.3       4.3
0.00325            1.29         0.0503          397.7        0.00741       2.3       4.3
0.00325            2.05         0.0797          629.8          0.009       2.3       4.3
0.00325            3.25          0.126          997.6         0.0106       2.3       4.3
0.00325            5.15            0.2           1581         0.0129       2.3       4.3
0.00325            8.15          0.317           2505         0.0161       2.3       4.3
0.00325            12.9          0.503           3969         0.0209       2.3       4.3
0.00515            1.29         0.0317          250.8        0.00762       2.3       4.3
0.00515            2.05         0.0503          396.9        0.00923       2.3       4.3
0.00515            3.25         0.0797          628.6         0.0108       2.3       4.3
0.00515            5.15          0.126          995.7          0.013       2.3       4.3
0.00515            8.15            0.2           1578         0.0161       2.3       4.3
0.00515            12.9          0.317           2500         0.0203       2.3       4.3
0.00515            20.5          0.503           3961         0.0265       2.3       4.3
0.00815            1.29           0.02          158.1        0.00783       2.3       4.3
0.00815            2.05         0.0317            250        0.00947       2.3       4.3
0.00815            3.25         0.0503          395.7         0.0111       2.3       4.3
0.00815            5.15         0.0797          626.7         0.0133       2.3       4.3
0.00815            8.15          0.126          992.7         0.0162       2.3       4.3
0.00815            12.9            0.2           1573         0.0202       2.3       4.3
0.00815            20.5          0.317           2492         0.0261       2.3       4.3
0.00815            32.5          0.503           3949         0.0345       2.3       4.3
0.0129             2.05           0.02          157.3        0.00972       2.3       4.3
0.0129             3.25         0.0317          248.8         0.0114       2.3       4.3
0.0129             5.15         0.0503          393.8         0.0136       2.3       4.3
0.0129             8.15         0.0797          623.7         0.0166       2.3       4.3
0.0129             12.9          0.126            988         0.0206       2.3       4.3
0.0129             20.5            0.2           1565          0.026       2.3       4.3
0.0129             32.5          0.317           2480         0.0339       2.3       4.3
0.0129             51.5          0.503           3930          0.045       2.3       4.3
0.0205             3.25           0.02          156.1         0.0117       2.3       4.3
0.0205             5.15         0.0317          246.9          0.014       2.3       4.3
0.0205             8.15         0.0503          390.8          0.017       2.3       4.3
0.0205             12.9         0.0797          618.9         0.0211       2.3       4.3
0.0205             20.5          0.126          980.4         0.0266       2.3       4.3
0.0205             32.5            0.2           1553          0.034       2.3       4.3
0.0205             51.5          0.317           2461         0.0442       2.3       4.3
0.0205             81.5          0.503           3900         0.0594       2.3       4.3
0.0325             5.15           0.02          154.2         0.0145       2.3       4.3
0.0325             8.15         0.0317          243.9         0.0176       2.3       4.3
0.0325             12.9         0.0503          386.1         0.0217       2.3       4.3
0.0325             20.5         0.0797          611.4         0.0273       2.3       4.3
0.0325             32.5          0.126          968.4         0.0345       2.3       4.3
0.0325             51.5            0.2           1534         0.0444       2.3       4.3
0.0325             81.5          0.317           2431         0.0587       2.3       4.3
0.0325              129          0.503           3853         0.0791       2.3       4.3
0.0515             8.15           0.02          151.2         0.0182       2.3       4.3
0.0515             12.9         0.0317          239.1         0.0226       2.3       4.3
0.0515             20.5         0.0503          378.5         0.0282       2.3       4.3
0.0515             32.5         0.0797          599.4         0.0359       2.3       4.3
0.0515             51.5          0.126          949.4         0.0457       2.3       4.3
0.0515             81.5            0.2           1504         0.0595       2.3       4.3
0.0515              129          0.317           2384          0.079       2.3       4.3
0.0515              205          0.503           3777          0.105       2.3       4.3
0.0815             12.9           0.02          146.4         0.0234       2.3       4.3
0.0815             20.5         0.0317          231.6         0.0292       2.3       4.3
0.0815             32.5         0.0503          366.5         0.0369       2.3       4.3
0.0815             51.5         0.0797          580.4         0.0474       2.3       4.3
0.0815             81.5          0.126          919.3           0.06       2.3       4.3
0.0815              129            0.2           1457         0.0798       2.3       4.3
0.0815              205          0.317           2308          0.106       2.3       4.3
0.0815              325          0.503           3657          0.144       2.3       4.3
0.129              20.5           0.02          138.9         0.0306       2.3       4.3
0.129              32.5         0.0317          219.6         0.0388       2.3       4.3
0.129              51.5         0.0503          347.5         0.0491       2.3       4.3
0.129              81.5         0.0797          550.3          0.063       2.3       4.3
0.129               129          0.126          871.6         0.0823       2.3       4.3
0.129               205            0.2           1381          0.108       2.3       4.3
0.129               325          0.317           2188          0.143       2.3       4.3
0.129               515          0.503           3467            0.2       2.3       4.3
0.205              32.5           0.02          126.9         0.0414       2.3       4.3
0.205              51.5         0.0317          200.6          0.053       2.3       4.3
0.205              81.5         0.0503          317.4         0.0685       2.3       4.3
0.205               129         0.0797          502.6          0.087       2.3       4.3
0.205               205          0.126            796          0.116       2.3       4.3
0.205               325            0.2           1261           0.15       2.3       4.3
0.205               515          0.317           1998            0.2       2.3       4.3
0.205               815          0.503           3166          0.272       2.3       4.3
0.325              51.5           0.02          107.9         0.0626       2.3       4.3
0.325              81.5         0.0317          170.5         0.0803       2.3       4.3
0.325               129         0.0503          269.7          0.104       2.3       4.3
0.325               205         0.0797            427          0.135       2.3       4.3
0.325               325          0.126          676.2          0.177       2.3       4.3
0.325               515            0.2           1071          0.235       2.3       4.3
0.325               815          0.317           1697           0.31       2.3       4.3
0.325          1.29e+03          0.503           2690          0.424       2.3       4.3
0.515              81.5           0.02          77.82          0.126       2.3       4.3
0.515               129         0.0317          122.8          0.157       2.3       4.3
0.515               205         0.0503          194.1          0.212       2.3       4.3
0.515               325         0.0797          307.2          0.275       2.3       4.3
0.515               515          0.126          486.3          0.364       2.3       4.3
0.515               815            0.2          770.3          0.495       2.3       4.3
0.515          1.29e+03          0.317           1220          0.663       2.3       4.3
0.515          2.05e+03          0.503           1934           1.06       2.3       4.3
0.815               129           0.02          30.13          0.514       2.3       4.3
0.815               205         0.0317          47.23          0.727       2.3       4.3
0.815               325         0.0503          74.34          0.944       2.3       4.3
0.815               515         0.0797          117.3          0.908       2.3       4.3
0.815               815          0.126          185.4           1.41       2.3       4.3
0.815          1.29e+03            0.2          293.3            2.6       2.3       4.3
0.815          2.05e+03          0.317          464.4           2.06       2.3       4.3
0.815          3.25e+03          0.503          735.5           3.36       2.3       4.3

beam energy set:10x110
-----------------------
0.000515           1.29          0.571           2511        0.00801       2.3       4.3
0.000815           1.29           0.36           1584        0.00763       2.3       4.3
0.000815           2.05          0.571           2511        0.00998       2.3       4.3
0.00129            1.29          0.227          999.6        0.00747       2.3       4.3
0.00129            2.05           0.36           1584        0.00951       2.3       4.3
0.00129            3.25          0.571           2510          0.012       2.3       4.3
0.00205            1.29          0.143          630.5        0.00747       2.3       4.3
0.00205            2.05          0.227          998.8        0.00932       2.3       4.3
0.00205            3.25           0.36           1583         0.0114       2.3       4.3
