!*  EIC simulated unpolarized Rad=0 CC data at true level from Xiaoxuan Chu
!*  L = 10 fb^-1, sqrt(S) =140.71247, sys uncertainty = 0.03 * sigma 
!*  Created on 200420
 Reaction = CC e-p
ColumnName = "Q2","x","Sigma", "stat", "fakeSyst=0.03 * Sigma"

Q2               x                      sigma              statErr                  sysErr                    
110         0.00678335         0.969882         0.0457207         0.0290965
110         0.00958173         0.830052         0.0355882         0.0249016
110         0.0135346         0.562787         0.0246562         0.0168836
110         0.0191181         0.418306         0.0178855         0.0125492
110         0.027005         0.291265         0.0125573         0.00873796
110         0.0381456         0.20965         0.00896397         0.00628949
110         0.053882         0.132412         0.005994         0.00397235
110         0.0761104         0.0954691         0.00428238         0.00286407
110         0.107509         0.0591556         0.00283629         0.00177467
110         0.15186         0.0382206         0.00191823         0.00114662
110         0.214508         0.023991         0.00127873         0.000719731
110         0.303001         0.0126418         0.000781011         0.000379253
110         0.428         0.00529466         0.000425277         0.00015884
110         0.604567         0.000507839         0.000110819         1.52352e-05
110         0.853973         3.42402e-05         2.42115e-05         1.02721e-06
130         0.00958173         0.802587         0.0349945         0.0240776
130         0.0135346         0.583311         0.0251017         0.0174993
130         0.0191181         0.39154         0.0173038         0.0117462
130         0.027005         0.306424         0.01288         0.00919272
130         0.0381456         0.206583         0.00889817         0.0061975
130         0.053882         0.138381         0.00612762         0.00415143
130         0.0761104         0.0925878         0.00421726         0.00277763
130         0.107509         0.0632353         0.00293247         0.00189706
130         0.15186         0.0388945         0.00193507         0.00116683
130         0.214508         0.0229687         0.00125118         0.000689061
130         0.303001         0.0125935         0.000779519         0.000377806
130         0.428         0.00444068         0.000389474         0.000133221
130         0.604567         0.000870581         0.000145097         2.61174e-05
130         0.853973         3.42402e-05         2.42115e-05         1.02721e-06
200         0.0135346         0.47313         0.022607         0.0141939
200         0.0191181         0.363245         0.0166668         0.0108974
200         0.027005         0.278813         0.012286         0.0083644
200         0.0381456         0.202367         0.00880691         0.00607102
200         0.053882         0.135125         0.0060551         0.00405375
200         0.0761104         0.0795256         0.00390847         0.00238577
200         0.107509         0.0549399         0.00273336         0.0016482
200         0.15186         0.0352361         0.00184182         0.00105708
200         0.214508         0.0211966         0.00120195         0.000635899
200         0.303001         0.0119663         0.000759858         0.000358988
200         0.428         0.004509         0.000392458         0.00013527
200         0.604567         0.00103986         0.000158577         3.11958e-05
200         0.853973         5.13603e-05         2.96529e-05         1.54081e-06
400         0.027005         0.193275         0.0102292         0.00579824
400         0.0381456         0.160591         0.00784537         0.00481772
400         0.053882         0.115318         0.00559372         0.00345953
400         0.0761104         0.074147         0.00377399         0.00222441
400         0.107509         0.0480044         0.00255502         0.00144013
400         0.15186         0.0319628         0.00175419         0.000958884
400         0.214508         0.018743         0.00113025         0.00056229
400         0.303001         0.0100362         0.000695886         0.000301086
400         0.428         0.00385998         0.000363116         0.000115799
400         0.604567         0.000822215         0.000141009         2.46665e-05
400         0.853973         1.71201e-05         1.71201e-05         5.13603e-07
700         0.053882         0.0814006         0.00469967         0.00244202
700         0.0761104         0.0545538         0.00323717         0.00163661
700         0.107509         0.039573         0.00231981         0.00118719
700         0.15186         0.0258013         0.00157606         0.000774039
700         0.214508         0.0166302         0.00106464         0.000498905
700         0.303001         0.00752716         0.000602655         0.000225815
700         0.428         0.00351839         0.000346677         0.000105552
700         0.604567         0.000652936         0.000125657         1.95881e-05
700         0.853973         1.71201e-05         1.71201e-05         5.13603e-07
1000         0.0761104         0.0503278         0.00310926         0.00150983
1000         0.107509         0.0380772         0.00227555         0.00114231
1000         0.15186         0.0241646         0.00152526         0.000724939
1000         0.214508         0.0170391         0.00107765         0.000511173
1000         0.303001         0.00781667         0.000614135         0.0002345
1000         0.428         0.00273273         0.000305528         8.19819e-05
1000         0.604567         0.000411108         9.97082e-05         1.23332e-05
1000         0.853973         1.71201e-05         1.71201e-05         5.13603e-07
1400         0.107509         0.0292378         0.000630559         0.000877135
1400         0.15186         0.0201019         0.000439918         0.000603057
1400         0.214508         0.0127043         0.000294259         0.00038113
1400         0.303001         0.00638844         0.00017557         0.000191653
1400         0.428         0.00260292         9.4294e-05         7.80877e-05
1400         0.604567         0.000486074         3.4285e-05         1.45822e-05
1400         0.853973         1.54081e-05         5.13603e-06         4.62243e-07
3000         0.214508         0.00773575         0.000229617         0.000232072
3000         0.303001         0.00427987         0.000143704         0.000128396
3000         0.428         0.00167721         7.56915e-05         5.03164e-05
3000         0.604567         0.000324049         2.79936e-05         9.72148e-06
3000         0.853973         1.54081e-05         5.13603e-06         4.62243e-07
5000         0.303001         0.00194452         6.84927e-05         5.83355e-05
5000         0.428         0.00110676         4.34774e-05         3.32027e-05
5000         0.604567         0.000172907         1.44592e-05         5.18721e-06
5000         0.853973         3.42402e-06         1.71201e-06         1.02721e-07
9000         0.428         5.12387e-05         4.18362e-06         1.53716e-06
9000         0.604567         9.26201e-05         4.73267e-06         2.7786e-06
9000         0.853973         3.59522e-06         7.84542e-07         1.07857e-07
